Model name,Number of cores,Number of cycles, Number of configs found
peterson.1,1,15378,11
peterson.1,2,8514,11
peterson.1,4,5335,11
peterson.1,8,3894,11
peterson.1,16,2365,11
peterson.4,1,25872,14
peterson.4,2,13356,14
peterson.4,4,7098,14
peterson.4,8,5152,14
peterson.4,16,3584,14
peterson.3,1,15378,11
peterson.3,2,8514,11
peterson.3,4,5335,11
peterson.3,8,3894,11
peterson.3,16,2365,11
peterson.6,1,25872,14
peterson.6,2,13356,14
peterson.6,4,7098,14
peterson.6,8,5152,14
peterson.6,16,3584,14
peterson.5,1,26152,14
peterson.5,2,13496,14
peterson.5,4,7168,14
peterson.5,8,5222,14
peterson.5,16,3654,14
peterson.7,1,39066,17
peterson.7,2,20859,17
peterson.7,4,10676,17
peterson.7,8,7310,17
peterson.7,16,6120,17
peterson.2,1,15543,11
peterson.2,2,8624,11
peterson.2,4,5390,11
peterson.2,8,3949,11
peterson.2,16,2365,11
pouring.1,1,77423301,579
pouring.1,2,38881008,579
pouring.1,4,19636785,579
pouring.1,8,10006857,579
pouring.1,16,5191893,579
pouring.2,1,38913102,342
pouring.2,2,19548378,342
pouring.2,4,9847548,342
pouring.2,8,4985334,342
pouring.2,16,2556792,342
elevator2.1,1,19040,14
elevator2.1,2,10836,14
elevator2.1,4,6118,14
elevator2.1,8,3346,14
elevator2.1,16,891808,124
elevator2.2,1,64324,26
elevator2.2,2,35542,26
elevator2.2,4,20306,26
elevator2.2,8,11960,26
elevator2.2,16,6396,26
elevator2.3,1,53636,23
elevator2.3,2,27853,23
elevator2.3,4,15433,23
elevator2.3,8,8257,23
elevator2.3,16,5589,23
sokoban.1,1,10615,5
sokoban.1,2,6555,5
sokoban.1,4,3305,5
sokoban.1,8,1975,5
sokoban.1,16,3060,9
sokoban.2,1,15155,7
sokoban.2,2,9191,7
sokoban.2,4,4641,7
sokoban.2,8,3059,7
sokoban.2,16,4472,13
sokoban.3,1,15435,7
sokoban.3,2,9191,7
sokoban.3,4,4641,7
sokoban.3,8,3339,7
sokoban.3,16,4472,13
iprotocol.1,1,59520,16
iprotocol.1,2,34400,16
iprotocol.1,4,18688,16
iprotocol.1,8,10544,16
iprotocol.1,16,6272,16
iprotocol.4,1,82677,21
iprotocol.4,2,49707,21
iprotocol.4,4,27132,21
iprotocol.4,8,15246,21
iprotocol.4,16,9597,21
iprotocol.7,1,78140,20
iprotocol.7,2,46740,20
iprotocol.7,4,26360,20
iprotocol.7,8,16260,20
iprotocol.7,16,9120,20
iprotocol.6,1,82068,21
iprotocol.6,2,49098,21
iprotocol.6,4,25662,21
iprotocol.6,8,15078,21
iprotocol.6,16,9597,21
iprotocol.2,1,82677,21
iprotocol.2,2,49707,21
iprotocol.2,4,25641,21
iprotocol.2,8,14259,21
iprotocol.2,16,9597,21
iprotocol.5,1,77600,20
iprotocol.5,2,46200,20
iprotocol.5,4,25740,20
iprotocol.5,8,13260,20
iprotocol.5,16,7920,20
iprotocol.3,1,68796,18
iprotocol.3,2,40536,18
iprotocol.3,4,23292,18
iprotocol.3,8,12132,18
iprotocol.3,16,7092,18
anderson.5,1,27765,15
anderson.5,2,14055,15
anderson.5,4,7950,15
anderson.5,8,4245,15
anderson.5,16,2460,15
anderson.7,1,52900,23
anderson.7,2,26956,23
anderson.7,4,14007,23
anderson.7,8,8648,23
anderson.7,16,5244,23
anderson.4,1,22635,15
anderson.4,2,11745,15
anderson.4,4,6030,15
anderson.4,8,3300,15
anderson.4,16,2790,15
anderson.6,1,52417,23
anderson.6,2,26956,23
anderson.6,4,14007,23
anderson.6,8,8165,23
anderson.6,16,5244,23
anderson.2,1,12364,11
anderson.2,2,6567,11
anderson.2,4,3773,11
anderson.2,8,2189,11
anderson.2,16,1760,11
anderson.8,1,71928,27
anderson.8,2,37125,27
anderson.8,4,20952,27
anderson.8,8,11178,27
anderson.8,16,6264,27
anderson.1,1,5320,7
anderson.1,2,2758,7
anderson.1,4,1484,7
anderson.1,8,1092,7
anderson.1,16,1810,10
anderson.3,1,10017,9
anderson.3,2,5085,9
anderson.3,4,3258,9
anderson.3,8,1791,9
anderson.3,16,1422,9
phils.2,1,21792,12
phils.2,2,11076,12
phils.2,4,6408,12
phils.2,8,3384,12
phils.2,16,2784,12
phils.4,1,60325,19
phils.4,2,30970,19
phils.4,4,16929,19
phils.4,8,9158,19
phils.4,16,5491,19
phils.7,1,123741,27
phils.7,2,63126,27
phils.7,4,33723,27
phils.7,8,17469,27
phils.7,16,9828,27
phils.3,1,10675,7
phils.3,2,5383,7
phils.3,4,3017,7
phils.3,8,1722,7
phils.3,16,1253,7
phils.1,1,5095,5
phils.1,2,2575,5
phils.1,4,1315,5
phils.1,8,885,5
phils.1,16,590,5
phils.6,1,60832,16
phils.6,2,31232,16
phils.6,4,16176,16
phils.6,8,8416,16
phils.6,16,4384,16
phils.8,1,68935,17
phils.8,2,34663,17
phils.8,4,17527,17
phils.8,8,8959,17
phils.8,16,4675,17
phils.5,1,39559,13
phils.5,2,19903,13
phils.5,4,10075,13
phils.5,8,5681,13
phils.5,16,3276,13
at.1,1,61028,22
at.1,2,32868,22
at.1,4,17732,22
at.1,8,10846,22
at.1,16,6468,22
at.4,1,165816,36
at.4,2,88632,36
at.4,4,46116,36
at.4,8,28008,36
at.4,16,18360,36
at.5,1,165816,36
at.5,2,88632,36
at.5,4,46116,36
at.5,8,28008,36
at.5,16,18360,36
at.3,1,107010,29
at.3,2,56898,29
at.3,4,31842,29
at.3,8,19778,29
at.3,16,10933,29
at.6,1,165816,36
at.6,2,88632,36
at.6,4,46116,36
at.6,8,28008,36
at.6,16,18360,36
at.2,1,61028,22
at.2,2,32868,22
at.2,4,17732,22
at.2,8,10846,22
at.2,16,6468,22
at.7,1,237446,43
at.7,2,125990,43
at.7,4,70950,43
at.7,8,41366,43
at.7,16,24983,43
lup.1,1,296020,41
lup.1,2,151987,41
lup.1,4,76957,41
lup.1,8,43419,41
lup.1,16,22673,41
lup.3,1,2393838,102
